target,annotation,species,status,activity,clone,protein,genePage,uniprot,class,superkingdom,targetRole,batch,community,maxCode,ligandCode,ligandScreenStatus
BrabA.00023.a,Inorganic pyrophosphatase:Bacterial/Archaeal inorganic pyrophosphatase,Brucella melitensis,in PDB,active,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00023.a,Q2YR76,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,20,10,Experimental evidence of bound ligand(s)
BrabA.00030.a,"CbxX/CfqX superfamily:ATP/GTP-binding site motif A (P-loop):Bacterial chromosomal replication initiator protein, DnaA:AAA ATP...",Brucella melitensis,diffraction,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00030.a,Q2YPX2,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,11,-1,
BrabA.00032.a,S-adenosyl-L-homocysteine hydrolase:ATP/GTP-binding site motif A (P-loop),Brucella melitensis,in PDB,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00032.a,Q2YQX8,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,20,-1,
BrabA.00033.a,Protein of unknown function DUF25,Brucella melitensis,purified,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00033.a,Q2YK77,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,6,-1,
BrabA.00034.a,"Alpha/beta hydrolase fold:Esterase/lipase/thioesterase, active site:Epoxide hydrolase:Prolyl aminopeptidase S33:Alpha/beta hy...",Brucella melitensis,soluble,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00034.a,Q2YPG0,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,5,-1,
BrabA.00041.a,glutamate decarboxylase alpha,Brucella melitensis,soluble,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00041.a,Q2YK14,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,5,-1,
BrabA.00042.a,"Elongation factor, GTP-binding:ATP/GTP-binding site motif A (P-loop):Elongation factor Tu, C-terminal:Elongation factor Tu, d...",Brucella melitensis,crystallized,active,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00042.a,Q2YM08,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,8,-1,
BrabA.00044.a,Zinc-containing alcohol dehydrogenase superfamily:Zinc-containing alcohol dehydrogenase,Brucella melitensis,in PDB,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00044.a,Q2YP66,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,20,-1,
BrabA.00047.a,Fumarate lyase:Delta crystallin,Brucella melitensis,in PDB,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00047.a,Q2YLW1,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,20,-1,
BrabA.00005.a,Lactate/malate dehydrogenase:L-lactate dehydrogenase:TrkA potassium uptake protein,Brucella melitensis,in PDB,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00005.a,Q2YLR9,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,20,17,Ligand-bound structure submitted to PDB
BrabA.00006.a,Precorrin-8X methylmutase CbiC/CobH,Brucella melitensis,in PDB,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00006.a,Q2YRF5,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,20,-1,
BrabA.00007.a,"Conserved hypothetical protein, ArsC related:Arsenate reductase and related",Brucella melitensis,in PDB,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00007.a,Q2YMA4,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,20,-1,
BrabA.00008.a,Glycine hydroxymethyltransferase,Brucella melitensis,diffraction,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00008.a,Q2YN95,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,interest,11,-1,
BrabA.00013.a,"CbxX/CfqX superfamily:Disease resistance protein:ATP/GTP-binding site motif A (P-loop):AAA ATPase:AAA ATPase, central region:...",Brucella melitensis,crystallized,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00013.a,Q2YRD2,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,8,-1,
BrabA.00014.a,Isocitrate lyase and phosphorylmutase:Isocitrate lyase,Brucella melitensis,in PDB,active,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00014.a,Q2YQA0,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,20,17,Ligand-bound structure submitted to PDB
BrabA.00015.a,"Ribosomal protein S10:Ribosomal protein S10, bacterial form",Brucella melitensis,crystallized,work stopped,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00015.a,Q2YM02,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,8,-2,work stopped
BrabA.00016.a,Blue (type 1) copper domain:Blue (type 1) copper protein:Amicyanin:Plastocyanin,Brucella melitensis,crystallized,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00016.a,Q2YJW9,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,8,-1,
BrabA.00026.a,Acyl carrier protein (ACP):Phosphopantetheine attachment site:Phosphopantetheine-binding domain,Brucella melitensis,in PDB,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00026.a,Q2YMG5,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,20,-1,
BrabA.00027.a,"Acyl-CoA dehydrogenase:Acyl-CoA dehydrogenase, C-terminal:Acyl-CoA dehydrogenase, central domain:Acyl-CoA dehydrogenase, N-te...",Brucella melitensis,in PDB,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00027.a,Q2YPZ4,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,20,5,Target selected for ligand screening
BrabA.00028.a,Ferritin:Bacterioferritin,Brucella melitensis,in PDB,active,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00028.a,Q2YKI4,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,20,-1,
BrabA.00029.a,Thioredoxin:Thioredoxin type domain:Thioredoxin domain 2,Brucella melitensis,HSQC satisfactory,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00029.a,Q2YQX0,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,9,-1,
BrabA.00036.a,"Acetyl-CoA carboxylase, biotin carboxylase:Carbamoyl-phosphate synthase L chain, ATP-binding:Carbamoyl-phosphate synthetase l...",Brucella melitensis,crystallized,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00036.a,Q2YNP3,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,8,-1,
BrabA.00037.a,"7Fe ferredoxin:3Fe-4S ferredoxin:4Fe-4S ferredoxin, iron-sulfur binding domain",Brucella melitensis,soluble,active,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00037.a,Q2YNF5,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,5,-1,
BrabA.00038.a,"Pectinesterase:NADH-ubiquinone oxidoreductase, chain 49kDa",Brucella melitensis,expressed,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00038.a,Q2YNG0,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,4,-1,
BrabA.00039.a,"Metallopeptidase family M24:Methionine aminopeptidase:Methionine aminopeptidase, subfamily 1",Brucella melitensis,crystallized,active,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00039.a,Q2YRG0,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,interest,8,-1,
BrabA.00052.a,"Glyceraldehyde 3-phosphate dehydrogenase:TrkA potassium uptake protein:Glyceraldehyde-3-phosphate dehydrogenase, type I",Brucella melitensis,in PDB,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00052.a,Q2YRE0,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,20,11,Experimental evidence of bound ligand(s)
BrabA.00053.a,CbxX/CfqX superfamily:ATP/GTP-binding site motif A (P-loop):AAA ATPase:Heat shock protein HslVU,Brucella melitensis,native diffraction-data,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00053.a,Q2YQZ4,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,12,-1,
BrabA.00049.a,Catalase,Brucella melitensis,soluble,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00049.a,Q2YK32,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,5,-1,
BrabA.00060.a,3' exoribonuclease:Ribonuclease PH,Brucella melitensis,crystallized,active,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00060.a,Q2YP33,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,8,-1,
BrabA.00066.a,"RNA polymerase, alpha chain, bacterial and organelle",Brucella melitensis,crystallized,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00066.a,Q2YRU0,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,8,-1,
BrabA.00067.a,WW/Rsp5/WWP domain:Bacterial transferase hexapeptide repeat:Serine O-acetyltransferase,Brucella melitensis,in PDB,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00067.a,Q2YQG6,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,20,-1,
BrabA.00069.a,RecA bacterial DNA recombination protein:ATP/GTP-binding site motif A (P-loop):AAA ATPase,Brucella melitensis,crystallized,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00069.a,Q2YRU7,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,8,-1,
BrabA.00079.a,Glutaredoxin:Thioredoxin type domain,Brucella melitensis,in PDB,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00079.a,Q2YLN2,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,20,-1,
BrabA.00080.a,"Ribosomal protein S12, bacterial and chloroplast forms:Ribosomal protein S12/S23",Brucella melitensis,soluble,work stopped,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00080.a,Q2YLZ8,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,5,-2,work stopped
BrabA.00083.a,"Cytochrome c heme-binding site:Cytochrome c, class IA/ IB:Cytochrome c, class I",Brucella melitensis,expressed,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00083.a,Q2YIS2,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,4,-1,
BrabA.00085.a,"Short-chain dehydrogenase/reductase SDR:GDP-mannose 4,6-dehydratase",Brucella melitensis,diffraction,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00085.a,Q2YMP3,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,interest,11,-1,
BrabA.00091.a,GTP cyclohydrolase I,Brucella melitensis,crystallized,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00091.a,Q2YQ03,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,8,-1,
BrabA.00097.a,Pantoate-beta-alanine ligase:Cytidyltransferase-related domain,Brucella melitensis,in PDB,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00097.a,Q2YPI2,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,20,-1,
BrabA.00102.a,DAHP synthetase I/KDSA superfamily:2-dehydro-3-deoxyphosphooctonate aldolase,Brucella melitensis,in PDB,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00102.a,Q2YPU9,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,20,-1,
BrabA.00106.a,Methyladenine glycosylase,Brucella melitensis,crystallized,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00106.a,Q2YII1,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,8,-1,
BrabA.00111.a,"Glutamine synthetase class-I, adenylation site:Glutamine synthetase type I:Glutamine synthetase, catalytic domain:Glutamine s...",Brucella melitensis,diffraction,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00111.a,Q2YQ67,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,interest,11,-1,
BrabA.00136.a,Ferritin:DNA-binding protein Dps,Brucella melitensis,in PDB,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00136.a,Q2YQT2,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,20,-1,
BrabB.00011.a,cell division protein FtsZ,Brucella abortus,cloned,active,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabB.00011.a,Q57C84,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,2,-2,work stopped
BrmeA.00011.a,cell division protein FtsZ,Brucella melitensis,cloned,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrmeA.00011.a,Q8YI60,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,2,-1,
BrsuA.00011.a,cell division protein FtsZ,Brucella suis,soluble,active,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrsuA.00011.a,Q8FZP8,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,5,-1,
BupsA.00004.a,30S ribosomal protein S9,Burkholderia pseudomallei,crystallized,work stopped,Not available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BupsA.00004.a,Q3JNR2,Betaproteobacteria,Bacteria,Potential drug target,Batch_01,,8,-2,work stopped
BupsA.00005.a,Malate dehydrogenase,Burkholderia pseudomallei,in PDB,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BupsA.00005.a,Q3JKE9,Betaproteobacteria,Bacteria,Potential drug target,Batch_01,,20,10,Experimental evidence of bound ligand(s)
BrabA.00057.a,ATP/GTP-binding site motif A (P-loop):ABC transporter:AAA ATPase:TOBE domain,Brucella melitensis,crystallized,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00057.a,Q2YJY5,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,8,-1,
BrabA.00059.a,Alkaline phosphatase,Brucella melitensis,purified,active,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00059.a,Q2YRU9,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,6,-1,
BrabA.00070.a,"AP endonuclease, family 2",Brucella melitensis,in PDB,active,Not available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00070.a,Q2YLA2,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,20,-1,
BrabA.00071.a,"Methylenetetrahydrofolate reductase:5,10-methylenetetrahydrofolate reductase",Brucella melitensis,soluble,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00071.a,Q2YM35,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,5,-1,
BrabA.00073.a,Arsenate reductase:Arsenate reductase and related,Brucella melitensis,in PDB,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00073.a,Q2YQ82,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,20,-1,
BrabA.00076.a,Phosphoribosyltransferase:Uracil phosphoribosyl transferase,Brucella melitensis,soluble,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00076.a,Q2YJM3,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,5,-1,
BrabA.00085.b,NAD binding site:NAD-dependent epimerase/dehydratase:UDP-glucose 4-epimerase,Brucella melitensis,crystallized,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00085.b,Q2YQ12,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,8,-1,
BrabA.00086.a,"Dehydroquinase, class II",Brucella melitensis,diffraction,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00086.a,Q2YNP1,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,11,-1,
BrabA.00087.a,Chaperonin Cpn10,Brucella melitensis,purified,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00087.a,Q2YIJ2,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,6,-1,
BrabA.00089.a,"Bacterial periplasmic spermidine/putrescine-binding protein:Bacterial extracellular solute-binding protein, family 1",Brucella melitensis,crystallized,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00089.a,Q2YQA1,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,8,-1,
BrabA.00113.a,Beta-ketoacyl synthase,Brucella melitensis,in PDB,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00113.a,Q2YQQ9,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,20,17,Ligand-bound structure submitted to PDB
BrabA.00121.a,Biotin synthase:Elongator protein 3/MiaB/NifB:Radical SAM,Brucella melitensis,purified,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00121.a,Q2YKB8,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,6,-1,
BrabA.00123.a,Immunoglobulin/major histocompatibility complex,Brucella melitensis,soluble,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00123.a,Q2YJI1,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,5,-1,
BrabA.00128.a,"Bacterial extracellular solute-binding protein, family 3:Pyridoxal-dependent decarboxylase",Brucella melitensis,expressed,active,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BrabA.00128.a,Q2YK15,Alphaproteobacteria,Bacteria,Potential drug target,Batch_01,,4,-1,
BumaA.00011.a,cell division protein FtsZ,Burkholderia mallei,purified,work stopped,Not available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BumaA.00011.a,Q62GT3,Betaproteobacteria,Bacteria,Potential drug target,Batch_01,,6,-2,work stopped
BupsA.00001.a,Cytidine deaminase,Burkholderia pseudomallei,in PDB,active,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BupsA.00001.a,Q3JJN0,Betaproteobacteria,Bacteria,Potential drug target,Batch_01,,20,5,Target selected for ligand screening
BupsA.00002.a,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase",Burkholderia pseudomallei,in PDB,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BupsA.00002.a,Q3JR17,Betaproteobacteria,Bacteria,Potential drug target,Batch_01,,20,-1,
BupsA.00003.a,50S ribosomal protein L27,Burkholderia pseudomallei,purified,work stopped,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BupsA.00003.a,Q3JNF9,Betaproteobacteria,Bacteria,Potential drug target,Batch_01,,6,-2,work stopped
BupsA.00010.a,3-ketoacyl-(acyl-carrier-protein) reductase,Burkholderia pseudomallei,in PDB,active,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BupsA.00010.a,Q3JQ67,Betaproteobacteria,Bacteria,Potential drug target,Batch_01,interest,20,5,Target selected for ligand screening
BupsA.00010.b,enoyl-(acyl carrier protein) reductase,Burkholderia pseudomallei,in PDB,active,Not available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BupsA.00010.b,Q3JQY0,Betaproteobacteria,Bacteria,Potential drug target,Batch_01,interest,20,1,Target selected for ligand screening
BupsA.00008.a,serine hydroxymethyltransferase,Burkholderia pseudomallei,in PDB,active,Not available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BupsA.00008.a,Q3JGP5,Betaproteobacteria,Bacteria,Potential drug target,Batch_01,,20,5,Target selected for ligand screening
BupsA.00009.a,kynureninase,Burkholderia pseudomallei,selected,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BupsA.00009.a,Q3JVD7,Betaproteobacteria,Bacteria,Potential drug target,Batch_01,,1,-1,
BupsA.00014.b,methylisocitrate lyase,Burkholderia pseudomallei,in PDB,active,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BupsA.00014.b,Q3JHR0,Betaproteobacteria,Bacteria,Potential drug target,Batch_01,,20,5,Target selected for ligand screening
BupsA.00015.a,30S ribosomal protein S10,Burkholderia pseudomallei,soluble,work stopped,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BupsA.00015.a,Q3JMR2,Betaproteobacteria,Bacteria,Potential drug target,Batch_01,,5,-2,work stopped
BupsA.00017.a,cytochrome C552 precursor,Burkholderia pseudomallei,soluble,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BupsA.00017.a,Q3JV13,Betaproteobacteria,Bacteria,Potential drug target,Batch_01,,5,-1,
BupsA.00018.a,ribosome releasing factor,Burkholderia pseudomallei,NMR assigned,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BupsA.00018.a,Q3JR31,Betaproteobacteria,Bacteria,Potential drug target,Batch_01,,13,-1,
BupsA.00024.a,alpha-ketoglutarate-dependent taurine dioxygenase,Burkholderia pseudomallei,purified,active,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BupsA.00024.a,Q3JKX1,Betaproteobacteria,Bacteria,Potential drug target,Batch_01,,6,-1,
BupsA.00025.a,NAD(+) synthetase,Burkholderia pseudomallei,in PDB,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BupsA.00025.a,Q3JL79,Betaproteobacteria,Bacteria,Potential drug target,Batch_01,,20,-1,
BupsA.00026.a,acyl carrier protein,Burkholderia pseudomallei,cloned,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BupsA.00026.a,Q3JQ68,Betaproteobacteria,Bacteria,Potential drug target,Batch_01,,2,-1,
BupsA.00027.a,glutaryl-CoA dehydrogenase,Burkholderia pseudomallei,in PDB,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BupsA.00027.a,Q3JP94,Betaproteobacteria,Bacteria,Potential drug target,Batch_01,,20,17,Ligand-bound structure submitted to PDB
BupsA.00032.a,S-adenosyl-L-homocysteine hydrolase,Burkholderia pseudomallei,in PDB,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BupsA.00032.a,Q3JY79,Betaproteobacteria,Bacteria,Potential drug target,Batch_01,,20,17,Ligand-bound structure submitted to PDB
BupsA.00033.a,methionine-R-sulfoxide reductase,Burkholderia pseudomallei,in PDB,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BupsA.00033.a,Q3JRF0,Betaproteobacteria,Bacteria,Potential drug target,Batch_01,,20,11,Experimental evidence of bound ligand(s)
BupsA.00035.a,ribose-phosphate pyrophosphokinase,Burkholderia pseudomallei,in PDB,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BupsA.00035.a,Q3JW86,Betaproteobacteria,Bacteria,Potential drug target,Batch_01,interest,20,10,Experimental evidence of bound ligand(s)
BupsA.00036.a,5'-phosphoribosylglycinamide transformylase,Burkholderia pseudomallei,soluble,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BupsA.00036.a,Q3JUJ4,Betaproteobacteria,Bacteria,Potential drug target,Batch_01,,5,-1,
BupsA.00046.a,"alpha,alpha-trehalose-phosphate synthase (UDP-forming)",Burkholderia pseudomallei,soluble,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BupsA.00046.a,Q3JUS9,Betaproteobacteria,Bacteria,Potential drug target,Batch_01,,5,-1,
BupsA.00046.b,"alpha,alpha-trehalose-phosphate synthase (UDP-forming)",Burkholderia pseudomallei,cloned,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BupsA.00046.b,Q3JQ97,Betaproteobacteria,Bacteria,Potential drug target,Batch_01,,2,-1,
BupsA.00047.a,fumarate hydratase,Burkholderia pseudomallei,in PDB,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/BupsA.00047.a,Q3JQ34,Betaproteobacteria,Bacteria,Potential drug target,Batch_01,,20,-1,
